episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
217.0,-101.42857142857143,3.6907611120314825,-36.445068359375,0.0,-103.28571428571429
218.0,-91.42857142857143,4.176498833156767,-24.90329124813988,0.0,-104.64285714285714
219.0,-102.85714285714286,4.0736767791566395,-34.69682384672619,0.0,-103.78571428571429
220.0,-85.0,4.120752005350022,-58.510660807291664,0.0,-97.92857142857142
221.0,-107.85714285714286,3.5119242441086542,-30.884402320498513,0.0,-99.71428571428571
222.0,-91.42857142857143,2.832676569620768,-13.726858956473214,0.0,-98.07142857142857
223.0,-97.14285714285714,2.8937430722372874,-34.255580357142854,0.0,-98.42857142857142
224.0,-85.0,4.053578774134318,-64.74313499813988,0.0,-95.28571428571429
225.0,-102.14285714285714,4.481832595098586,-53.36039806547619,0.0,-96.14285714285714
226.0,-77.85714285714286,4.17650826772054,-65.69728306361607,0.0,-94.21428571428571
227.0,-107.14285714285714,4.06865322022211,-46.27873302641369,0.0,-94.78571428571429
228.0,-127.85714285714286,3.8020719233013334,-59.99782017299107,0.0,-98.42857142857142
229.0,-98.57142857142857,3.431566295169649,-56.03864978608631,0.0,-98.0
230.0,-91.42857142857143,4.077306316012428,-67.65926688058036,0.0,-98.64285714285714
231.0,-84.28571428571429,3.68997015271868,-47.407066708519345,0.0,-96.28571428571429
232.0,-102.85714285714286,3.3697287695748463,-38.394775390625,0.0,-97.42857142857143
233.0,-78.57142857142857,4.061043341954549,-44.404546828497026,0.0,-95.57142857142858
234.0,-88.57142857142857,3.264653069632394,-43.84324718656994,0.0,-95.92857142857143
235.0,-99.28571428571429,3.702297267459688,-100.65266927083333,0.0,-95.64285714285714
236.0,-112.14285714285714,2.4287934870946977,-15.369798932756696,0.0,-99.07142857142858
237.0,-77.14285714285714,3.791001036053612,-45.913431803385414,0.0,-96.07142857142858
238.0,-119.28571428571429,5.323576211929321,-76.15645345052083,0.0,-95.21428571428572
239.0,-67.14285714285714,5.685779140109108,-44.60972958519345,0.0,-92.07142857142858
240.0,-120.0,4.489521389915829,78.16592261904762,0.0,-94.92857142857143
241.0,-114.28571428571429,3.882044031506493,17.848371233258927,0.0,-97.92857142857142
242.0,-105.0,4.221833592369443,-7.745509556361607,0.0,-98.14285714285714
243.0,-77.85714285714286,4.480024496714274,-25.370067778087797,0.0,-98.07142857142857
244.0,-102.14285714285714,5.108276162828718,-63.77751232328869,0.0,-99.42857142857142
245.0,-115.0,5.223904473440988,-75.38262067522321,0.0,-101.0
246.0,-107.85714285714286,5.1087211427234465,-33.410955519903276,0.0,-100.57142857142857
247.0,-94.28571428571429,4.918680849529448,-7.254320417131696,0.0,-102.28571428571429
248.0,-87.85714285714286,3.8587914421444847,-33.406962076822914,0.0,-99.14285714285714
249.0,-97.14285714285714,4.736247675759452,-63.85617210751488,0.0,-102.14285714285714
250.0,-75.71428571428571,3.694672698066348,40.319178989955354,0.0,-97.71428571428571
251.0,-97.85714285714286,4.991119997841971,-1.8540489560081845,0.0,-96.07142857142858
252.0,-115.71428571428571,5.067738567079816,9.270961216517858,0.0,-97.14285714285714
253.0,-84.28571428571429,4.552557513827369,-105.566650390625,0.0,-97.78571428571429
254.0,-99.28571428571429,4.770393258049374,-43.43913051060268,0.0,-97.50000000000001
255.0,-102.14285714285714,4.731573627108619,-43.10360863095238,0.0,-96.21428571428571
256.0,-123.57142857142857,4.566466842378889,-54.690877278645836,0.0,-97.78571428571429
257.0,-90.0,4.981342043195452,-9.803328741164435,0.0,-97.35714285714286
258.0,-117.14285714285714,5.368281705038888,32.83794875372024,0.0,-100.28571428571428
259.0,-75.71428571428571,4.4131135032290505,-38.22006080264137,0.0,-98.14285714285714
260.0,-90.0,5.161572297414144,-34.197928292410715,0.0,-99.57142857142858
261.0,-97.14285714285714,4.3948175339471724,27.545311337425595,0.0,-99.5
262.0,-93.57142857142857,4.041520833969116,16.28323218936012,0.0,-97.28571428571429
263.0,-102.14285714285714,5.241133916945684,39.907252720424104,0.0,-99.07142857142857
264.0,-110.0,4.343361854553223,41.07464308965774,0.0,-100.14285714285714
265.0,-81.42857142857143,4.96688649767921,87.76615978422619,0.0,-98.07142857142857
266.0,-94.28571428571429,4.537858997072492,52.567179361979164,0.0,-95.14285714285714
267.0,-85.71428571428571,4.455070541018531,68.98379952566964,0.0,-94.71428571428571
268.0,-128.57142857142858,3.3340936728886197,28.923636300223215,0.0,-95.85714285714286
269.0,-117.85714285714286,4.324066264288766,48.05035691034226,0.0,-100.07142857142857
270.0,-89.28571428571429,3.8789700667063394,7.79132080078125,0.0,-100.0
271.0,-81.42857142857143,3.52513971782866,22.082098098028276,0.0,-98.42857142857143
272.0,-72.85714285714286,4.015614112218221,32.898640950520836,0.0,-96.35714285714286
273.0,-108.57142857142857,3.6754885968707858,38.56368873232887,0.0,-97.00000000000001
274.0,-87.14285714285714,4.265708026431856,37.354314894903276,0.0,-94.71428571428572
275.0,-87.85714285714286,4.335585310345604,83.00957961309524,0.0,-95.35714285714286
276.0,-85.0,3.9808293070111955,41.363484700520836,0.0,-94.42857142857143
277.0,-103.57142857142857,4.5781057108016245,37.20109630766369,0.0,-96.21428571428572
278.0,-96.42857142857143,4.273002476919265,5.353784470331101,0.0,-93.00000000000001
279.0,-86.42857142857143,3.3717512970878962,22.255125499906995,0.0,-89.85714285714286
280.0,-125.71428571428571,3.6628828389304027,-6.1025136311848955,0.0,-93.5
281.0,-76.42857142857143,3.584293183826265,-15.676910400390625,0.0,-93.0
282.0,-102.14285714285714,4.069438832146781,-35.698172433035715,0.0,-95.92857142857142
283.0,-87.85714285714286,4.711945238567534,-13.877474830264138,0.0,-93.85714285714286
284.0,-90.0,4.20303319749378,-43.48376174200149,0.0,-94.14285714285714
285.0,-82.14285714285714,3.70389453570048,-26.630865187872026,0.0,-93.57142857142857
286.0,-122.14285714285714,4.199948151906331,-51.978416806175595,0.0,-97.28571428571428
